English Word,French Word,Frequency
forces,jurer,26,
despair,fier,21,
pride,connaissance,6,
promise,commander,9,
season,commandé,21,
myself,sortir,9,
dread,prétendre,10,
royal,proclamer,32,
reason,infini,84,
bones,église,41,
study,mécontentement,12,
senator,saluer,6,
third,actes,13,
grown,possible,15,
tower,juge,34,
proper,entreprise,13,
below,Quatrième,126,
crown,spécial,4,
common,doigt,22,
misery,trahison,19,
herself,privé,5,
month,librement,5,
entreat,cœur,14,
jealous,boutique,34,
lieutenant,contenu,26,
already,plus long,81,
argument,fantôme,11,
endure,les forces,57,
enobarbus,désespoir,4,
blest,fierté,16,
warrant,promettre,250,
sacred,saison,17,
brother,moi même,12,
course,crainte,30,
hazard,horrible,18,
stomach,Royal,21,
parted,raison,15,
thunder,trahison,37,
country,des os,11,
weeping,étude,30,
offend,sénateur,9,
grave,troisième,34,
sorrow,grandi,94,
shine,la tour,27,
every,correct,15,
supper,au dessous de,5,
twice,couronne,23,
tonight,commun,19,
lords,misère,28,
wherein,se,53,
strong,mois,32,
servant,supplier,10,
knife,jaloux,20,
thief,lieutenant,13,
winter,déjà,8,
marriage,argument,60,
fearful,supporter,21,
single,énobarbus,38,
includes,heureux,26,
humour,mandat,13,
drown,sacré,20,
chamber,frère,17,
afterwards,cours,11,
cloten,discours,8,
presence,danger,23,
swift,estomac,13,
opinion,séparé,42,
thrust,tonnerre,31,
express,pays,14,
mighty,larmes,16,
guess,offenser,19,
blessing,la tombe,24,
guilty,chagrin,58,
death,éclat,40,
traitor,chaque,6,
master,tout,9,
ready,souper,25,
brains,deux fois,24,
second,ce soir,73,
hanging,seigneurs,12,
receive,seigneurie,23,
under,où,30,
knows,fort,60,
forbid,serviteur,22,
benefit,couteau,12,
assure,voleur,19,
hereafter,hiver,28,
cease,mariage,8,
knock,craintif,11,
grieve,Célibataire,20,
cheer,comprend,4,
night,humour,23,
purse,noyer,8,
proceed,chambre,9,
wrath,ensuite,15,
weeds,cailloter,50,
chief,présence,11,
their,rapide,11,
further,opinion,12,
shows,poussée,11,
please,Express,17,
right,puissant,13,
yours,devine,16,
palace,bénédiction,38,
sweet,coupable,8,
buried,décès,13,
prepare,traitre,47,
measure,Maître,4,
passion,déjà,15,
blush,prêt,15,
search,cerveaux,70,
object,seconde,26,
paper,pendaison,37,
giving,recevoir,45,
safety,tonnerre,13,
liberty,sous,73,
hangs,comprendre,20,
feeble,entreprendre,28,
mortal,sait,21,
stars,interdire,51,
challenge,avantage,18,
entertain,assurer,40,
scarce,ci-après, par la suite,7,
demand,cesser,33,
marry,frappe,49,
lovely,pleurer,101,
afraid,acclamation,7,
these,Chevalier,10,
quality,minuit,8,
sweat,nuit,49,
smell,ce soir,28,
force,bourse,41,
peril,procéder,49,
chaste,colère,19,
fiery,mauvaises herbes,5,
think,chef,26,
given,sottises,40,
dinner,leur,33,
mischief,plus loin,8,
comfort,montre,12,
syracuse,S'il vous plaît,78,
holds,brillant,3,
keeps,droits d'auteur,10,
happiness,droite,15,
valiant,le tiens,11,
whose,toi même,17,
particular,palais,15,
round,sucré,87,
believe,enterré,32,
ransom,préparer,10,
distributed,mesure,26,
plain,la passion,12,
after,rougir,14,
learn,chercher,14,
sword,objet,65,
minister,papier,10,
rivers,donnant,10,
hateful,sécurité,17,
point,liberté,12,
spare,bloque,6,
mouth,faible,9,
darkness,mortel,30,
issue,étoiles,17,
people,défi,13,
borne,divertir,15,
commanded,divertissement,21,
pompey,rare,11,
rough,demande,9,
excellent,marier,49,
anything,charmant,12,
heels,peur,6,
since,celles-ci,14,
window,qualité,35,
clown,transpiration,6,
return,odeur,9,
anger,Obliger,14,
fruit,les forces,12,
golden,péril,28,
suffer,chaste,86,
natural,ardent,71,
captain,pense,21,
abroad,donné,12,
within,dîner,26,
heard,sottises,7,
abide,confort,25,
birth,Syracuse,9,
fortune,tient,10,
tailor,garde,13,
guard,bonheur,63,
honest,vaillant,7,
laugh,dont,19,
great,particulier,13,
steel,sol,30,
blood,rond,10,
turns,croyez,9,
therefore,une rançon,10,
personal,distribué,13,
constant,plaine,20,
desperate,après,45,
rogue,ensuite,21,
quarrel,ci-après, par la suite,11,
throat,apprendre,7,
orlando,appris,7,
breath,épée,72,
vengeance,ministre,105,
kneel,rivières,19,
nought,odieux,10,
battle,point,14,
account,de rechange,10,
project,bouche,10,
paris,obscurité,69,
painter,problème,26,
alone,gens,17,
thought,supporté,127,
title,commandé,18,
malice,pompey,12,
dishonour,apporté,8,
fashion,rugueux,18,
heads,par,15,
pardon,forgé,10,
spoke,excellent,60,
feast,n'importe quoi,32,
because,talons,23,
monster,depuis,7,
fancy,la fenêtre,9,
simple,pitre,34,
colour,revenir,23,
dying,colère,12,
prison,danger,20,
themselves,fruit,13,
bound,d'or,8,
embrace,souffrir,12,
deliver,Naturel,9,
blind,capitaine,19,
music,à l'étranger,25,
living,dans,13,
noble,entendu,6,
bitter,respecter,22,
lives,naissance,26,
dearest,fortune,7,
wounded,tailleur,15,
frown,garde,15,
awake,honnête,11,
beggar,rire,26,
walls,génial,48,
modest,acier,4,
trouble,du sang,8,
senate,se tourne,23,
action,par conséquent,16,
nature,personnel,22,
slander,constant,11,
forward,désespéré,9,
asleep,coquin,9,
teeth,querelle,13,
enemies,gorge,24,
beaten,orlando,8,
prince,souffle,13,
fairy,vengeance,2,
works,s'agenouiller,14,
merry,néant,88,
tarry,bataille,71,
bless,Compte,10,
storm,projet,24,
absence,Paris,14,
madness,peintre,16,
soothsayer,seul,32,
gaunt,pensée,35,
athens,Titre,24,
creature,malice,20,
according,déshonorer,10,
better,mode,27,
bears,têtes,10,
haste,pardon,14,
learned,parlait,6,
thank,le banquet,12,
protest,car,10,
welcome,monstre,16,
known,fantaisie,16,
priest,Facile,15,
strength,Couleur,15,
ground,en train de mourir,27,
college,prison,61,
shadow,se,12,
brought,lié,7,
apparel,embrasse,22,
cruel,livrer,7,
credit,aveugle,26,
cross,la musique,23,
glass,vivant,9,
sirrah,noble,40,
question,amer,8,
public,vies,12,
rotten,très cher,8,
offence,blessés,4,
excuse,froncer les sourcils,8,
breast,éveillé,22,
acquainted,mendiant,6,
trick,des murs,16,
serve,modeste,11,
flesh,difficulté,9,
stood,sénat,13,
disgrace,action,7,
become,la nature,19,
parts,calomnie,49,
names,vers l'avant,7,
didst,endormi,5,
falls,les dents,12,
fault,ennemis,8,
earth,battu,36,
shake,prince,30,
dream,Fée,10,
success,travaux,7,
constable,joyeux,29,
tyrant,goudronneux,175,
wonder,bénir,16,
render,bénédiction,10,
fellow,orage,100,
written,absence,83,
present,la démence,67,
chair,devin,8,
strike,décharné,7,
disposition,Athènes,169,
certain,créature,11,
others,selon,46,
tongue,mieux,438,
doing,ours,33,
charge,chaste,6,
fight,hâte,40,
whore,appris,14,
goodness,remercier,41,
house,manifestation,20,
request,Bienvenue,18,
leave,connu,19,
memory,inconnue,206,
always,prêtre,13,
oliver,force,6,
stone,sol,50,
weight,Université,7,
several,ombre,7,
mother,apporté,14,
forth,vêtements,143,
report,cruel,23,
fetch,crédit,10,
taken,traverser,62,
commission,verre,11,
undertake,sirrah,7,
despite,question,11,
smile,Publique,14,
above,pourri,68,
niece,infraction,11,
prohibited,excuse,19,
membership,Sein,48,
fatal,connaissance,50,
piece,tour,14,
summer,mériter,6,
nurse,servir,31,
again,la chair,10,
being,se tenait,14,
quite,disgrâce,23,
without,devenir,17,
download,les pièces,92,
double,des noms,13,
execution,didst,25,
spend,des chutes,23,
sentence,faute,42,
fierce,Terre,22,
almost,secouer,63,
burden,rêver,4,
train,rêves,11,
deserve,Succès,20,
deadly,gendarme,25,
ancient,tyran,8,
table,merveille,5,
suddenly,rendre,20,
charity,compagnon,6,
makes,écrit,25,
advantage,présent,64,
forbear,chaise,14,
gross,la grève,111,
thrive,disposition,105,
willing,certain,135,
general,autres,57,
cause,langue,14,
mercy,Faire,13,
little,charge,11,
ladies,bats toi,5,
loving,putain,25,
count,la bonté,14,
ourselves,maison,7,
flowers,demande,11,
occasion,laisser,6,
health,Mémoire,13,
painted,toujours,24,
soldier,oliver,7,
counsel,calcul,17,
knees,poids,15,
humble,nombreuses,17,
crave,mère,6,
defend,en avant,9,
service,désormais,10,
heaven,rapport,12,
mirth,chercher,6,
stuff,pris,5,
happy,commission,13,
either,entreprendre,9,
bright,malgré,8,
whole,sourire,10,
speed,au dessus,14,
blame,nièce,2,
besides,interdit,1,
widow,adhésion,23,
eternal,fatal,5,
hostess,pièce,37,
heavy,été,7,
utter,infirmière,4,
sooner,encore,9,
fiend,étant,17,
spring,assez,27,
conscience,sans pour autant,10,
wench,Télécharger,9,
party,double,20,
mariana,exécution,10,
motion,dépenser,19,
water,phrase,7,
banish,féroce,26,
silence,presque,9,
patient,fardeau,14,
folly,train,10,
taught,mériter,9,
desert,mortel,9,
midnight,ancien,24,
repair,gendarme,18,
habit,table,20,
money,tout à coup,28,
stand,charité,21,
forsooth,fait du,7,
affection,avantage,6,
outward,ancêtre,8,
catch,brut,29,
sight,prospérer,50,
drunk,prêt,14,
dramatis,général,10,
horse,car,13,
bought,cause,7,
drums,pitié,11,
speaks,peu,3,
quoth,Dames,24,
broke,aimant,63,
knight,Compte,12,
sport,compter,13,
remain,contrefaire,2,
sound,comtesse,8,
itself,pays,12,
power,rencontre,7,
justice,nous-mêmes,12,
between,fleurs,13,
tribunes,occasion,22,
france,santé,11,
spite,peint,3,
forest,soldat,6,
kingdom,Conseil,2,
raise,les genoux,5,
ignorant,humble,8,
steward,demander,6,
doubt,défendre,20,
doors,un service,8,
staff,paradis,21,
image,gaieté,16,
yonder,des trucs,30,
which,heureux,10,
behind,malheureux,6,
dance,Soit,8,
grace,ni,13,
castle,brillant,10,
cannot,entier,12,
whether,la vitesse,15,
bounty,faire des reproches,10,
perfect,outre,10,
through,veuve,10,
times,éternel,12,
glory,hôtesse,12,
means,lourd,11,
glorious,prononcer,35,
voice,plus tôt,16,
dispatch,démon,14,
close,printemps,8,
confess,conscience,3,
number,jeune fille,11,
cunning,fête,5,
chain,Mariana,8,
beast,mouvement,2,
sense,eau,43,
flower,bannir,15,
figure,silence,11,
ulysses,patient,16,
virtue,folie,8,
letter,enseigné,5,
silver,désert,6,
terms,minuit,9,
substance,réparation,16,
drink,habitude,7,
poison,argent,11,
maiden,supporter,8,
commercial,comprendre,7,
hence,en vérité,154,
indeed,affection,39,
degree,affections,80,
purpose,vers l'extérieur,12,
jewel,capture,29,
condition,vue,47,
hector,ivre,12,
drops,dramatis,102,
council,cheval,17,
vantage,acheté,6,
chance,tambours,8,
kindness,parle,6,
frame,quoth,11,
stain,cassé,12,
remember,Chevalier,9,
about,sport,13,
scene,rester,8,
daughter,du son,9,
fought,lui-même,7,
sorry,Puissance,1,
pretty,Justice,18,
precious,entre,6,
skill,tribunes,7,
office,France,4,
avoid,malgré,11,
lands,dépit,20,
hollow,forêt,11,
touch,Royaume,5,
swore,louange,19,
labour,élever,20,
empty,ignorant,6,
strange,intendant,3,
worship,doute,15,
garden,des portes,12,
tender,Personnel,5,
devise,image,4,
while,là-bas,3,
gentle,lequel,2,
murder,derrière,11,
brook,Danse,4,
machine,disgrâce,4,
grant,la grâce,8,
beyond,Château,3,
thing,ne peux pas,7,
violent,qu'il s'agisse,2,
satisfied,prime,1,
queen,parfait,6,
understand,par,5,
sought,fois,51,
plague,gloire,2,
elder,veux dire,6,
tells,glorieux,1,
noise,voix,3,
prologue,envoi,4,
should,proche,8,
divine,avouer,12,
policy,nombre,9,
weary,ruse,31,
sleep,chaîne,12,
former,la bête,57,
cheek,sens,164,
profit,fleur,31,
reign,fleurs,47,
worse,figure,41,
appears,Ulysse,5,
approach,vertu,11,
accuse,lettre,6,
surely,argent,6,
sovereign,termes,11,
another,substance,6,
picture,boisson,3,
lovers,poison,4,
equal,jeune fille,12,
instant,commercial,1,
struck,Par conséquent,9,
visit,désormais,2,
matter,d'où,7,
brave,En effet,9,
barren,diplôme,5,
encounter,objectif,6,
bottom,bijou,2,
least,état,2,
throne,Hector,238,
liege,gouttes,6,
reverence,conseil,3,
remedy,avantage,1,
brain,avantage,6,
follow,chance,1,
perceive,la gentillesse,143,
triumph,Cadre,104,
souls,tache,49,
meant,rappelles toi,78,
aside,sur,5,
sometime,scène,19,
breed,fille,2,
bring,combattu,30,
carry,Pardon,3,
foolish,jolie,1,
loves,précieux,1,
pluck,compétence,3,
proof,Bureau,1,
speak,éviter,4,
civil,terres,110,
brief,creux,129,
danger,toucher,3,
betray,juré,2,
